Business Name,Location,Category,Annual Trade Volume (M USD),Main Trading Partner,Trade Type,Subcategory,Business Size,Established Year,Contact Info,Phone,Preferred Trade Route,Trade Growth Rate (%),Currency,Trade Frequency (per year),Recency of Last Trade (months),Trade Success Rate (%),Partner Rating,Price Fluctuation (%),Region,IndustrySector,BusinessID,LogisticsAccess,TargetMarket,MarketAccessScore,TraditionalIndustryScore,EgyptianAdvantageScore,Business Features
International Fruits Agriculture Egypt,"Luxor, Egypt",Agriculture,4.76,Nigeria,Both,Fruits,Small,1984,info@internationalfr.eg,20298258781,Via Alexandria Port,-10.0,USD,24,0,85.59,4.7,5.76,Upper Egypt,Agriculture - Fruits,1,2,Africa,5,5.0,4.1,"{'trade_volume': 4.76, 'growth_rate': -10.0, 'success_rate': 85.59, 'trade_frequency': 24, 'business_size': 'Small', 'trade_type': 'Both', 'category': 'Agriculture', 'egyptian_advantage': 4.1, 'location_region': 'Upper Egypt'}"
Grains Agriculture Group,"Port Said, Egypt",Agriculture,700.0,Japan,Importer,Grains,Large,2008,info@grainsagricultu.eg,20133689941,Via Port Said Port,10.96,USD,365,5,75.53,3.9,7.34,Mediterranean Coast,Agriculture - Grains,2,5,Asia,3,5.0,4.4,"{'trade_volume': 700.0, 'growth_rate': 10.96, 'success_rate': 75.53, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Importer', 'category': 'Agriculture', 'egyptian_advantage': 4.4, 'location_region': 'Mediterranean Coast'}"
Flowers Agriculture Exports,"Port Tawfik, Egypt",Agriculture,57.04,Malaysia,Both,Flowers,Medium,2002,info@flowersagricult.eg,20165626005,Via Port Tawfik Port,1.88,USD,189,0,77.81,3.9,7.86,Other Egypt,Agriculture - Flowers,3,2,Asia,3,5.0,3.5,"{'trade_volume': 57.04, 'growth_rate': 1.88, 'success_rate': 77.81, 'trade_frequency': 189, 'business_size': 'Medium', 'trade_type': 'Both', 'category': 'Agriculture', 'egyptian_advantage': 3.5, 'location_region': 'Other Egypt'}"
El Fabrics Textiles,"6th of October, Egypt",Textiles,15.62,Argentina,Exporter,Fabrics,Small,2019,info@elfabricstextil.eg,20244096797,Via Safaga Port,7.55,USD,59,1,72.83,4.0,1.73,Other Egypt,Textiles - Fabrics,4,2,MENA,3,5.0,3.5,"{'trade_volume': 15.62, 'growth_rate': 7.55, 'success_rate': 72.83, 'trade_frequency': 59, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Textiles', 'egyptian_advantage': 3.5, 'location_region': 'Other Egypt'}"
International Souvenirs Tourism Egypt,"Kafr El Sheikh, Egypt",Tourism,82.33,Lebanon,Importer,Souvenirs,Medium,2008,info@internationalso.eg,20279518637,Via Damietta Port,-9.3,USD,262,5,88.37,4.1,4.85,Other Egypt,Tourism - Souvenirs,5,2,MENA,3,3.0,2.7,"{'trade_volume': 82.33, 'growth_rate': -9.3, 'success_rate': 88.37, 'trade_frequency': 262, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Tourism', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Silver Metals Trading Egypt,"Safaga, Egypt",Metals,2.12,Brazil,Both,Silver,Small,2020,info@silvermetalstra.eg,20386087328,Via Suez Port,2.18,USD,16,2,77.09,3.7,3.31,Other Egypt,Metals - Silver,6,2,MENA,3,4.0,3.1,"{'trade_volume': 2.12, 'growth_rate': 2.18, 'success_rate': 77.09, 'trade_frequency': 16, 'business_size': 'Small', 'trade_type': 'Both', 'category': 'Metals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Egypt Silver Metals Company,"Qena, Egypt",Metals,328.74,Kenya,Both,Silver,Large,2012,info@egyptsilvermeta.eg,20244968694,Via Safaga Port,9.47,USD,365,2,75.74,4.1,13.43,Upper Egypt,Metals - Silver,7,2,Africa,5,4.0,3.7,"{'trade_volume': 328.74, 'growth_rate': 9.47, 'success_rate': 75.74, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Both', 'category': 'Metals', 'egyptian_advantage': 3.7, 'location_region': 'Upper Egypt'}"
Delta Office Furniture,"Port Said, Egypt",Furniture,2.44,Spain,Importer,Office,Small,1981,info@deltaofficefurn.eg,20180759942,Via Port Said Port,-10.0,USD,14,0,63.09,2.6,1.0,Mediterranean Coast,Furniture - Office,8,5,Europe,5,3.0,4.2,"{'trade_volume': 2.44, 'growth_rate': -10.0, 'success_rate': 63.09, 'trade_frequency': 14, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Furniture', 'egyptian_advantage': 4.2, 'location_region': 'Mediterranean Coast'}"
Delta Fabrics Textiles,"Zagazig, Egypt",Textiles,11.09,Spain,Exporter,Fabrics,Small,2016,info@deltafabricstex.eg,20391344276,Via Alexandria Port,9.86,USD,54,6,69.22,2.5,5.24,Other Egypt,Textiles - Fabrics,9,2,Europe,3,5.0,3.5,"{'trade_volume': 11.09, 'growth_rate': 9.86, 'success_rate': 69.22, 'trade_frequency': 54, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Textiles', 'egyptian_advantage': 3.5, 'location_region': 'Other Egypt'}"
Suez Canal Aluminum Metals,"Port Tawfik, Egypt",Metals,4.83,Germany,Exporter,Aluminum,Small,1991,info@suezcanalalumin.eg,20145331464,Via Port Said Port,7.02,USD,26,0,70.62,3.8,1.83,Other Egypt,Metals - Aluminum,10,2,Europe,3,4.0,3.1,"{'trade_volume': 4.83, 'growth_rate': 7.02, 'success_rate': 70.62, 'trade_frequency': 26, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Metals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Pharaoh Detergents Chemicals,"6th of October, Egypt",Chemicals,13.73,Chile,Importer,Detergents,Medium,2016,info@pharaohdetergen.eg,20165985862,Via Suez Port,5.24,USD,47,3,75.95,4.0,11.8,Other Egypt,Chemicals - Detergents,11,2,MENA,3,4.0,3.1,"{'trade_volume': 13.73, 'growth_rate': 5.24, 'success_rate': 75.95, 'trade_frequency': 47, 'business_size': 'Medium', 'trade_type': 'Importer', 'category': 'Chemicals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Egypt Grains Agriculture Company,"Luxor, Egypt",Agriculture,12.75,Ghana,Exporter,Grains,Small,1986,info@egyptgrainsagri.eg,20120709549,Via Alexandria Port,-0.18,USD,48,6,80.22,4.3,10.02,Upper Egypt,Agriculture - Grains,12,2,Africa,5,5.0,4.1,"{'trade_volume': 12.75, 'growth_rate': -0.18, 'success_rate': 80.22, 'trade_frequency': 48, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Agriculture', 'egyptian_advantage': 4.1, 'location_region': 'Upper Egypt'}"
Premium Herbal Pharmaceuticals,"Kafr El Sheikh, Egypt",Pharmaceuticals,57.38,China,Exporter,Herbal,Medium,1999,info@premiumherbalph.eg,20310893645,Via Suez Port,-0.77,USD,197,2,82.21,4.2,9.31,Other Egypt,Pharmaceuticals - Herbal,13,2,Asia,3,4.0,3.1,"{'trade_volume': 57.38, 'growth_rate': -0.77, 'success_rate': 82.21, 'trade_frequency': 197, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Pharmaceuticals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Modern Fruits Agriculture,"Safaga, Egypt",Agriculture,592.21,Netherlands,Importer,Fruits,Large,2022,info@modernfruitsagr.eg,20312183611,Via Alexandria Port,-0.96,USD,365,4,89.45,4.3,14.8,Other Egypt,Agriculture - Fruits,14,2,Europe,3,5.0,3.5,"{'trade_volume': 592.21, 'growth_rate': -0.96, 'success_rate': 89.45, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Importer', 'category': 'Agriculture', 'egyptian_advantage': 3.5, 'location_region': 'Other Egypt'}"
Modern Medical Supplies Pharmaceuticals,"Luxor, Egypt",Pharmaceuticals,5.67,South Africa,Importer,Medical Supplies,Small,2013,info@modernmedicalsu.eg,20330586679,Via Safaga Port,12.91,USD,28,6,75.15,3.9,7.46,Upper Egypt,Pharmaceuticals - Medical Supplies,15,2,Africa,5,4.0,3.7,"{'trade_volume': 5.67, 'growth_rate': 12.91, 'success_rate': 75.15, 'trade_frequency': 28, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Pharmaceuticals', 'egyptian_advantage': 3.7, 'location_region': 'Upper Egypt'}"
Cosmetics Chemicals Egypt,"Beni Suef, Egypt",Chemicals,0.68,Kenya,Importer,Cosmetics,Small,1993,info@cosmeticschemic.eg,20354947015,Via Suez Port,-9.24,USD,10,5,65.83,3.2,13.54,Upper Egypt,Chemicals - Cosmetics,16,2,Africa,5,4.0,3.7,"{'trade_volume': 0.68, 'growth_rate': -9.24, 'success_rate': 65.83, 'trade_frequency': 10, 'business_size': 'Small', 'trade_type': 'Importer', 'category': 'Chemicals', 'egyptian_advantage': 3.7, 'location_region': 'Upper Egypt'}"
Cairo Wooden Furniture,"Damanhur, Egypt",Furniture,10.63,Qatar,Both,Wooden,Small,1985,info@cairowoodenfurn.eg,20330412171,Via Suez Port,-8.33,USD,46,5,77.82,4.0,13.88,Other Egypt,Furniture - Wooden,17,2,MENA,3,3.0,2.7,"{'trade_volume': 10.63, 'growth_rate': -8.33, 'success_rate': 77.82, 'trade_frequency': 46, 'business_size': 'Small', 'trade_type': 'Both', 'category': 'Furniture', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Canned Foods Food Processing Egypt,"Ismailia, Egypt",Food Processing,97.85,Ethiopia,Exporter,Canned Foods,Medium,1993,info@cannedfoodsfood.eg,20251995656,Via Ismailia Port,-3.93,USD,304,4,79.47,3.6,8.18,Suez Canal,Food Processing - Canned Foods,18,5,Africa,3,3.0,3.6,"{'trade_volume': 97.85, 'growth_rate': -3.93, 'success_rate': 79.47, 'trade_frequency': 304, 'business_size': 'Medium', 'trade_type': 'Exporter', 'category': 'Food Processing', 'egyptian_advantage': 3.6, 'location_region': 'Suez Canal'}"
Premium Communications Electronics,"Dahab, Egypt",Electronics,298.51,India,Both,Communications,Large,2011,info@premiumcommunic.eg,20180709216,Via Port Said Port,4.38,USD,365,3,86.11,4.2,13.87,Other Egypt,Electronics - Communications,19,2,Asia,3,3.0,2.7,"{'trade_volume': 298.51, 'growth_rate': 4.38, 'success_rate': 86.11, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Both', 'category': 'Electronics', 'egyptian_advantage': 2.7, 'location_region': 'Other Egypt'}"
Alexandria Dairy Food Processing,"New Cairo, Egypt",Food Processing,35.41,Argentina,Both,Dairy,Medium,2016,info@alexandriadairy.eg,20370366613,Via Alexandria Port,12.94,USD,120,0,98.0,5.0,14.46,Greater Cairo,Food Processing - Dairy,20,4,MENA,4,3.0,3.6000000000000005,"{'trade_volume': 35.41, 'growth_rate': 12.94, 'success_rate': 98.0, 'trade_frequency': 120, 'business_size': 'Medium', 'trade_type': 'Both', 'category': 'Food Processing', 'egyptian_advantage': 3.6000000000000005, 'location_region': 'Greater Cairo'}"
Cement Construction Egypt,"New Cairo, Egypt",Construction,35.96,Germany,Both,Cement,Medium,2018,info@cementconstruct.eg,20150527695,Via Safaga Port,0.81,USD,122,6,68.63,3.5,13.46,Greater Cairo,Construction - Cement,21,4,Europe,3,3.0,3.3000000000000003,"{'trade_volume': 35.96, 'growth_rate': 0.81, 'success_rate': 68.63, 'trade_frequency': 122, 'business_size': 'Medium', 'trade_type': 'Both', 'category': 'Construction', 'egyptian_advantage': 3.3000000000000003, 'location_region': 'Greater Cairo'}"
Egypt Herbal Pharmaceuticals Company,"Qena, Egypt",Pharmaceuticals,233.26,Indonesia,Exporter,Herbal,Large,2005,info@egyptherbalphar.eg,20115821007,Via Port Said Port,6.02,USD,365,3,74.11,3.9,3.59,Upper Egypt,Pharmaceuticals - Herbal,22,2,Asia,2,4.0,2.8000000000000003,"{'trade_volume': 233.26, 'growth_rate': 6.02, 'success_rate': 74.11, 'trade_frequency': 365, 'business_size': 'Large', 'trade_type': 'Exporter', 'category': 'Pharmaceuticals', 'egyptian_advantage': 2.8000000000000003, 'location_region': 'Upper Egypt'}"
Alexandria Plastics Chemicals,"Kafr El Sheikh, Egypt",Chemicals,11.66,Tanzania,Exporter,Plastics,Small,2019,info@alexandriaplast.eg,20134364730,Via Port Said Port,-5.63,USD,58,1,72.67,4.1,14.35,Other Egypt,Chemicals - Plastics,23,2,MENA,3,4.0,3.1,"{'trade_volume': 11.66, 'growth_rate': -5.63, 'success_rate': 72.67, 'trade_frequency': 58, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Chemicals', 'egyptian_advantage': 3.1, 'location_region': 'Other Egypt'}"
Tanta Medical Supplies Pharmaceuticals,"Tanta, Egypt",Pharmaceuticals,9.32,United States,Exporter,Medical Supplies,Small,1997,info@tantamedicalsup.eg,20371679143,Via Alexandria Port,-2.41,USD,36,6,69.95,3.2,4.86,Nile Delta,Pharmaceuticals - Medical Supplies,24,3,MENA,3,4.0,3.4,"{'trade_volume': 9.32, 'growth_rate': -2.41, 'success_rate': 69.95, 'trade_frequency': 36, 'business_size': 'Small', 'trade_type': 'Exporter', 'category': 'Pharmaceuticals', 'egyptian_advantage': 3.4, 'location_region': 'Nile Delta'}"
