BusinessID,Business Name,Annual Trade Volume (M USD),Trade Growth Rate (%),Trade Success Rate (%),Trade Frequency (per year),Business Size,Trade Type,Category,Trade Type Encoded,Business Size Encoded,Category Encoded
1,International Fruits Agriculture Egypt,4.76,-10.0,85.59,24,Small,Both,Agriculture,2,0,0
2,Grains Agriculture Group,700.0,10.96,75.53,365,Large,Importer,Agriculture,0,2,0
3,Flowers Agriculture Exports,57.04,1.88,77.81,189,Medium,Both,Agriculture,2,1,0
4,El Fabrics Textiles,15.62,7.55,72.83,59,Small,Exporter,Textiles,1,0,1
5,International Souvenirs Tourism Egypt,82.33,-9.3,88.37,262,Medium,Importer,Tourism,0,1,2
6,Silver Metals Trading Egypt,2.12,2.18,77.09,16,Small,Both,Metals,2,0,3
7,Egypt Silver Metals Company,328.74,9.47,75.74,365,Large,Both,Metals,2,2,3
8,Delta Office Furniture,2.44,-10.0,63.09,14,Small,Importer,Furniture,0,0,4
9,Delta Fabrics Textiles,11.09,9.86,69.22,54,Small,Exporter,Textiles,1,0,1
10,Suez Canal Aluminum Metals,4.83,7.02,70.62,26,Small,Exporter,Metals,1,0,3
11,Pharaoh Detergents Chemicals,13.73,5.24,75.95,47,Medium,Importer,Chemicals,0,1,5
12,Egypt Grains Agriculture Company,12.75,-0.18,80.22,48,Small,Exporter,Agriculture,1,0,0
13,Premium Herbal Pharmaceuticals,57.38,-0.77,82.21,197,Medium,Exporter,Pharmaceuticals,1,1,6
14,Modern Fruits Agriculture,592.21,-0.96,89.45,365,Large,Importer,Agriculture,0,2,0
15,Modern Medical Supplies Pharmaceuticals,5.67,12.91,75.15,28,Small,Importer,Pharmaceuticals,0,0,6
16,Cosmetics Chemicals Egypt,0.68,-9.24,65.83,10,Small,Importer,Chemicals,0,0,5
17,Cairo Wooden Furniture,10.63,-8.33,77.82,46,Small,Both,Furniture,2,0,4
18,Canned Foods Food Processing Egypt,97.85,-3.93,79.47,304,Medium,Exporter,Food Processing,1,1,7
19,Premium Communications Electronics,298.51,4.38,86.11,365,Large,Both,Electronics,2,2,8
20,Alexandria Dairy Food Processing,35.41,12.94,98.0,120,Medium,Both,Food Processing,2,1,7
21,Cement Construction Egypt,35.96,0.81,68.63,122,Medium,Both,Construction,2,1,9
22,Egypt Herbal Pharmaceuticals Company,233.26,6.02,74.11,365,Large,Exporter,Pharmaceuticals,1,2,6
23,Alexandria Plastics Chemicals,11.66,-5.63,72.67,58,Small,Exporter,Chemicals,1,0,5
24,Tanta Medical Supplies Pharmaceuticals,9.32,-2.41,69.95,36,Small,Exporter,Pharmaceuticals,1,0,6
25,Cement Construction House,136.38,-9.0,98.0,365,Large,Importer,Construction,0,2,9
26,Herbal Pharmaceuticals House,6.63,-5.21,82.46,34,Small,Both,Pharmaceuticals,2,0,6
27,El Resorts Tourism,28.18,3.77,82.96,95,Medium,Importer,Tourism,0,1,2
28,Silver Metals Group,54.84,-10.0,95.73,176,Medium,Exporter,Metals,1,1,3
29,Outdoor Furniture Industries,15.71,8.3,72.37,67,Small,Exporter,Furniture,1,0,4
30,Medicine Pharmaceuticals Egypt,11.8,4.76,90.52,50,Medium,Exporter,Pharmaceuticals,1,1,6
31,Premium Garments Textiles,2.44,-2.18,68.62,31,Small,Importer,Textiles,0,0,1
32,Communications Electronics Egypt,95.82,-10.0,89.33,304,Medium,Exporter,Electronics,1,1,8
33,Cosmetics Chemicals Trading Egypt,63.24,-8.79,76.43,200,Medium,Importer,Chemicals,0,1,5
34,International Detergents Chemicals Egypt,12.66,-10.0,89.34,53,Small,Exporter,Chemicals,1,0,5
35,Modern Detergents Chemicals,246.96,-4.68,57.73,365,Large,Both,Chemicals,2,2,5
36,Golden Vegetables Agriculture,377.44,0.49,88.86,365,Large,Importer,Agriculture,0,2,0
37,Pottery Handicrafts Exports,3.99,-10.0,79.78,27,Small,Importer,Handicrafts,0,0,10
38,Golden Herbal Pharmaceuticals,14.32,11.62,80.78,61,Small,Exporter,Pharmaceuticals,1,0,6
39,Egypt Medicine Pharmaceuticals Company,292.77,-6.98,62.99,365,Large,Both,Pharmaceuticals,2,2,6
40,Greater Cairo Dates Agriculture,20.19,-10.0,82.29,78,Small,Importer,Agriculture,0,0,0
41,Greater Cairo Spices Food Processing,1.23,-9.32,79.58,25,Small,Importer,Food Processing,0,0,7
42,Delta Computers Electronics,67.54,4.41,64.35,217,Medium,Exporter,Electronics,1,1,8
43,Canned Foods Food Processing of Egypt,19.06,-8.9,69.01,68,Medium,Exporter,Food Processing,1,1,7
44,Ancient Detergents Chemicals,47.07,-2.95,87.23,166,Medium,Both,Chemicals,2,1,5
45,Medicine Pharmaceuticals Trading Egypt,18.59,2.99,83.19,72,Small,Importer,Pharmaceuticals,0,0,6
46,Premium Bricks Construction,14.02,-9.41,71.26,58,Medium,Importer,Construction,0,1,9
47,Ancient Copper Metals,8.87,-0.7,67.75,44,Small,Exporter,Metals,1,0,3
48,Upper Egypt Fabrics Textiles,13.79,-6.26,78.46,42,Small,Both,Textiles,2,0,1
49,Fruits Agriculture Trading Egypt,15.47,-10.0,64.61,55,Small,Exporter,Agriculture,1,0,0
50,Herbal Pharmaceuticals Egypt,13.2,-5.4,70.65,56,Small,Importer,Pharmaceuticals,0,0,6
51,Souvenirs Tourism Group,1.89,10.09,78.75,18,Small,Exporter,Tourism,1,0,2
52,United Dates Agriculture,71.45,-3.1,83.24,231,Medium,Both,Agriculture,2,1,0
53,Glass Construction Exports,429.23,2.37,86.0,365,Large,Both,Construction,2,2,9
54,Premium Canned Foods Food Processing,27.62,14.92,72.08,84,Medium,Both,Food Processing,2,1,7
55,Glass Construction Trading Egypt,15.27,-4.6,74.2,67,Small,Exporter,Construction,1,0,9
56,Golden Bricks Construction,289.87,-7.01,87.23,365,Large,Both,Construction,2,2,9
57,Premium Office Furniture,78.33,12.13,79.31,238,Medium,Importer,Furniture,0,1,4
58,Cairo Aluminum Metals,401.48,-10.0,97.19,365,Large,Exporter,Metals,1,2,3
59,Souvenirs Tourism Trading Egypt,34.27,4.1,55.24,111,Medium,Importer,Tourism,0,1,2
60,Aluminum Metals Group,288.31,7.81,88.68,365,Large,Both,Metals,2,2,3
61,Cairo Components Electronics,5.5,1.41,64.59,42,Small,Importer,Electronics,0,0,8
62,Beverages Food Processing Egypt,47.85,-10.0,82.34,162,Medium,Importer,Food Processing,0,1,7
63,Garments Textiles Egypt,25.95,12.94,72.98,96,Medium,Exporter,Textiles,1,1,1
64,Golden Steel Metals,24.18,-3.59,70.47,80,Medium,Both,Metals,2,1,3
65,Alexandria Silver Metals,322.1,14.27,96.55,365,Large,Exporter,Metals,1,2,3
66,International Papyrus Handicrafts Egypt,394.01,-3.44,86.17,365,Large,Importer,Handicrafts,0,2,10
67,Transportation Tourism Group,8.46,-10.0,77.97,41,Small,Exporter,Tourism,1,0,2
68,Dates Agriculture Trading Egypt,9.66,2.28,98.0,50,Small,Both,Agriculture,2,0,0
69,Delta Flowers Agriculture,110.94,4.54,71.93,351,Medium,Exporter,Agriculture,1,1,0
70,Sohag Souvenirs Tourism,166.06,-10.0,98.0,365,Large,Importer,Tourism,0,2,2
71,Ancient Appliances Electronics,40.87,-1.67,98.0,136,Medium,Both,Electronics,2,1,8
72,Egyptian Metal Furniture,4.82,-7.81,71.29,27,Small,Importer,Furniture,0,0,4
73,Delta Medicine Pharmaceuticals,68.43,-9.09,86.19,215,Medium,Importer,Pharmaceuticals,0,1,6
74,International Glass Construction Egypt,242.87,7.75,92.77,365,Large,Importer,Construction,0,2,9
75,Greater Cairo Steel Metals,16.39,-2.57,77.99,59,Small,Both,Metals,2,0,3
76,Glass Construction of Egypt,26.57,-1.25,80.59,93,Medium,Exporter,Construction,1,1,9
77,Craft Tourism Industries,30.57,-10.0,78.44,108,Medium,Importer,Tourism,0,1,2
78,Upper Egypt Flowers Agriculture,95.03,-1.89,75.5,298,Medium,Importer,Agriculture,0,1,0
79,Vitamins Pharmaceuticals Exports,363.94,-10.0,80.36,365,Large,Importer,Pharmaceuticals,0,2,6
80,Royal Wooden Furniture,5.91,-7.47,74.0,27,Small,Exporter,Furniture,1,0,4
81,Beverages Food Processing Industries,15.83,-10.0,95.3,57,Small,Both,Food Processing,2,0,7
82,International Paints Chemicals Egypt,3.87,1.72,77.83,26,Small,Importer,Chemicals,0,0,5
83,Golden Gold Metals,35.17,-6.5,98.0,118,Medium,Importer,Metals,0,1,3
84,Paints Chemicals Exports,16.67,3.59,85.99,52,Medium,Importer,Chemicals,0,1,5
85,El Transportation Tourism,80.49,-3.01,80.1,253,Large,Importer,Tourism,0,2,2
